コード,県,ブロック,郡市,区町村,国籍区分,性別,年齢区分,内容,期間,増減数,出生,死亡,転入（県内）,転入（北海道・東北）,転入（北関東）,転入（南関東）,転入（北陸・東山）,転入（東海）,転入（近畿）,転入（中国）,転入（四国）,転入（九州）,転入（国外）,転入（不詳）,転出（県内）,転出（北海道・東北）,転出（北関東）,転出（南関東）,転出（北陸・東山）,転出（東海）,転出（近畿）,転出（中国）,転出（四国）,転出（九州）,転出（国外）,転出（不詳）,その他の増減
23224,愛知県,知多,知多市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-49,25,-51,52,1,-,7,1,6,4,-,-,1,1,-,-69,-1,-3,-8,-1,-2,-3,-2,-1,-8,-1,-,3
23225,愛知県,西三河,知立市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-9,27,-29,84,2,2,5,1,12,8,5,-,3,11,-,-98,-3,-1,-13,-1,-7,-3,-2,-,-5,-8,-,1
23226,愛知県,尾張北東部,尾張旭市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,9,18,-32,88,1,1,8,1,5,3,-,-,-,2,-,-59,-3,-,-4,-2,-9,-1,-1,-2,-1,-4,-,-
23227,愛知県,西三河,高浜市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-7,9,-20,63,1,1,2,1,5,6,1,-,-,6,-,-69,-1,-,-2,-,-1,-2,-,-,-3,-6,-,2
23228,愛知県,尾張北東部,岩倉市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-4,15,-35,60,-,1,4,-,8,4,1,1,3,3,-,-48,-1,-,-2,-,-9,-4,-2,-,-3,-1,-,1
23229,愛知県,尾張北東部,豊明市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,5,16,-27,61,3,-,3,3,6,5,-,-,-,9,-,-54,-,-,-4,-,-6,-3,-,-,-4,-4,-,1
23230,愛知県,尾張北東部,日進市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,25,30,-38,130,4,1,11,4,16,7,1,1,2,31,-,-130,-,-1,-18,-5,-5,-4,-2,-,-3,-7,-,-
23231,愛知県,東三河,田原市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-22,8,-31,31,2,-,-,-,4,3,-,1,2,4,-,-38,-,-1,-2,-,-3,-,-,-,-1,-1,-,-
23232,愛知県,尾張中西部・海部,愛西市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-13,19,-33,37,-,-,4,1,1,1,1,-,-,2,-,-39,-,-,-4,-,-1,-1,-,-,-,-,-,-1
23233,愛知県,尾張中西部・海部,清須市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,5,25,-35,84,-,-,5,3,15,9,2,1,8,6,-,-88,-2,-2,-3,-,-13,-6,-,-,-2,-2,-,-
23234,愛知県,尾張中西部・海部,北名古屋市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-37,22,-46,77,2,-,5,5,9,8,-,-,4,5,-,-79,-2,-1,-15,-,-11,-3,-1,-,-2,-1,-,-13
23235,愛知県,尾張中西部・海部,弥富市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-44,9,-35,26,2,-,3,2,17,2,-,-,-,-,-,-38,-1,-,-5,-2,-21,-1,-,-,-1,-1,-,-
23236,愛知県,西三河,みよし市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,4,14,-29,71,1,-,3,3,13,6,-,-,6,26,1,-63,-,-1,-5,-1,-10,-9,-3,-1,-2,-16,-,-
23237,愛知県,尾張中西部・海部,あま市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-22,23,-51,73,-,-,7,1,6,5,2,-,2,1,-,-66,-1,-,-5,-1,-12,-1,-1,-,-2,-1,-,-1
23238,愛知県,尾張北東部,長久手市,―,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-4,18,-13,51,-,-,6,6,10,7,-,-,6,15,-,-66,-1,-1,-5,-7,-10,-5,-1,-,-9,-7,-,2
23302,愛知県,尾張北東部,愛知郡,東郷町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-19,9,-25,41,-,-,6,-,1,4,-,-,1,4,-,-38,-2,-1,-9,-,-4,-1,-2,-,-,-4,-,1
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-10,5,-8,23,1,-,3,-,1,5,-,-,2,-,-,-30,-1,-,-2,-1,-2,-4,-,-,-2,-1,-,1
23361,愛知県,尾張北東部,丹羽郡,大口町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-19,5,-17,28,2,-,3,-,5,1,-,-,-,1,-,-29,-2,-1,-2,-2,-8,-2,-,-1,-,-2,-,2
23362,愛知県,尾張北東部,丹羽郡,扶桑町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,9,14,-24,39,-,-,-,2,10,1,-,-,-,-,-,-20,-2,-,-1,-3,-4,-1,-,-,-,-2,-,-
23424,愛知県,尾張中西部・海部,海部郡,大治町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,17,10,-13,40,-,-,4,-,6,2,-,-,-,1,-,-25,-,-,-2,-,-3,-,-1,-1,-,-1,-,-
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,2,11,-19,38,-,-,3,-,10,2,-,1,3,3,-,-23,-1,-,-7,-,-11,-3,-1,-,-3,-1,-,-
23427,愛知県,尾張中西部・海部,海部郡,飛島村,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-3,1,-3,3,-,-,-,-,-,-,-,-,-,-,-,-3,-,-,-1,-,-,-,-,-,-,-,-,-
23441,愛知県,知多,知多郡,阿久比町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,4,5,-11,23,-,-,3,-,-,-,-,-,-,2,-,-14,-,-,-1,-1,-,-1,-,-,-1,-,-,-
23442,愛知県,知多,知多郡,東浦町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,7,10,-25,50,1,3,-,-,4,2,-,-,1,7,-,-26,-1,-2,-3,-,-4,-4,-,-,-3,-3,-,-
23445,愛知県,知多,知多郡,南知多町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-19,2,-19,9,-,-,-,-,-,-,-,-,-,-,-,-10,-,-,-,-,-1,-,-,-,-,-,-,-
23446,愛知県,知多,知多郡,美浜町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-6,1,-8,16,1,-,-,-,-,-,-,-,2,2,-,-15,-2,-,-,-,-2,-1,-,-,-,-,-,-
23447,愛知県,知多,知多郡,武豊町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-3,17,-17,31,-,-,3,-,2,2,1,1,1,2,-,-31,-,-,-4,-,-2,-2,-2,-,-4,-1,-,-
23501,愛知県,西三河,額田郡,幸田町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,9,19,-15,35,2,-,1,2,2,1,-,1,2,5,-,-32,-1,-1,-3,-,-2,-2,-,-2,-1,-2,-,-
23561,愛知県,東三河,北設楽郡,設楽町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-3,-,-4,3,-,-,-,-,-,-,-,-,-,1,-,-2,-,-,-,-1,-,-,-,-,-,-,-,-
23562,愛知県,東三河,北設楽郡,東栄町,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,-3,-,-3,1,-,-,-,-,-,-,-,-,-,2,-,-1,-,-,-,-,-,-,-,-,-,-2,-,-
23563,愛知県,東三河,北設楽郡,豊根村,b)日本人,b)男,a)総数,人口増減数（人）,20210101-31,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23000,愛知県,―,―,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-1550,2065,-3514,5748,110,38,581,157,821,408,88,27,221,437,-,-6051,-93,-56,-818,-131,-749,-355,-75,-33,-229,-217,-,70
23100,愛知県,名古屋,名古屋市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-659,671,-1211,2597,45,15,274,80,335,177,42,16,89,133,-,-2694,-39,-24,-417,-60,-307,-180,-34,-17,-104,-91,-,45
23101,愛知県,名古屋,名古屋市,千種区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-57,37,-99,193,5,3,29,9,28,14,3,3,5,18,-,-177,-2,-3,-49,-1,-27,-17,-1,-3,-7,-16,-,-2
23102,愛知県,名古屋,名古屋市,東区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-22,21,-36,135,3,-,16,3,20,18,4,1,4,3,-,-140,-3,-2,-24,-8,-14,-9,-4,-1,-8,-3,-,2
23103,愛知県,名古屋,名古屋市,北区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-60,45,-101,173,5,2,20,4,21,8,2,1,1,5,-,-166,-,-4,-24,-2,-25,-10,-,-,-13,-2,-,-
23104,愛知県,名古屋,名古屋市,西区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-37,48,-85,172,2,-,13,7,25,18,3,2,7,9,-,-183,-1,-2,-23,-3,-19,-14,-4,-,-10,-2,-,3
23105,愛知県,名古屋,名古屋市,中村区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-51,39,-83,203,3,-,15,9,32,8,1,1,3,2,-,-200,-,-,-29,-5,-21,-16,-5,-,-6,-4,-,2
23106,愛知県,名古屋,名古屋市,中区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,28,33,-46,196,3,2,35,5,32,19,1,2,12,12,-,-174,-2,-1,-45,-4,-20,-21,-,-2,-6,-4,-,1
23107,愛知県,名古屋,名古屋市,昭和区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-26,29,-61,137,2,1,21,2,22,8,5,1,1,13,-,-150,-3,-1,-16,-9,-13,-6,-4,-,-3,-2,-,-
23108,愛知県,名古屋,名古屋市,瑞穂区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,2,38,-71,143,1,-,11,4,16,9,4,-,5,-,-,-104,-2,-,-15,-2,-13,-10,-,-2,-6,-6,-,2
23109,愛知県,名古屋,名古屋市,熱田区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-26,17,-38,86,1,-,6,3,8,1,-,-,8,2,-,-91,-1,-,-9,-1,-8,-8,-,-,-1,-2,-,1
23110,愛知県,名古屋,名古屋市,中川区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-54,57,-116,238,7,2,20,3,37,18,4,2,15,5,-,-254,-4,-1,-21,-8,-29,-11,-4,-2,-12,-7,-,7
23111,愛知県,名古屋,名古屋市,港区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-53,33,-74,132,4,1,9,-,10,8,-,1,5,6,-,-143,-1,-,-16,-4,-11,-7,-2,-1,-5,-2,-,4
23112,愛知県,名古屋,名古屋市,南区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-94,27,-75,113,1,-,6,2,14,6,-,1,1,3,-,-150,-2,-1,-14,-1,-15,-3,-1,-,-5,-3,-,2
23113,愛知県,名古屋,名古屋市,守山区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-35,60,-69,155,2,-,15,7,17,10,3,1,3,9,-,-166,-7,-6,-20,-1,-31,-6,-4,-2,-3,-13,-,11
23114,愛知県,名古屋,名古屋市,緑区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-50,84,-107,205,2,1,10,1,17,10,7,-,2,21,-,-227,-5,-1,-22,-2,-21,-12,-3,-,-12,-9,-,11
23115,愛知県,名古屋,名古屋市,名東区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-68,53,-71,143,3,2,29,12,22,14,2,-,10,11,-,-165,-6,-1,-57,-6,-23,-19,-1,-2,-6,-11,-,-1
23116,愛知県,名古屋,名古屋市,天白区,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-56,50,-79,173,1,1,19,9,14,8,3,-,7,14,-,-204,-,-1,-33,-3,-17,-11,-1,-2,-1,-5,-,2
23201,愛知県,東三河,豊橋市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-136,83,-181,112,6,1,12,7,34,11,1,1,4,15,-,-145,-3,-4,-25,-,-36,-11,-6,-2,-9,-7,-,6
23202,愛知県,西三河,岡崎市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-44,107,-165,192,9,4,30,3,26,11,3,2,14,30,-,-202,-4,-1,-32,-4,-24,-13,-6,-3,-5,-18,-,2
23203,愛知県,尾張中西部・海部,一宮市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-60,98,-181,157,1,2,16,9,62,14,8,1,9,6,-,-147,-3,-,-28,-8,-47,-18,-3,-,-6,-3,-,1
23204,愛知県,尾張北東部,瀬戸市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-6,28,-58,75,1,-,9,2,10,2,1,-,4,7,-,-62,-,-1,-7,-1,-9,-4,-1,-,-3,-1,-,2
23205,愛知県,知多,半田市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-42,37,-55,64,2,-,6,3,7,7,-,1,-,3,-,-84,-,-3,-13,-2,-7,-5,-1,-,-1,-2,-,1
23206,愛知県,尾張北東部,春日井市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-38,95,-130,173,3,-,26,4,41,14,7,-,10,6,-,-183,-4,-2,-27,-4,-33,-19,-4,-2,-12,-,-,3
23207,愛知県,東三河,豊川市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-69,49,-82,95,1,2,7,-,7,10,6,-,7,5,-,-107,-2,-1,-14,-4,-22,-5,-2,-3,-4,-,-,-12
23208,愛知県,尾張中西部・海部,津島市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-33,12,-38,42,2,-,1,-,6,-,-,-,1,1,-,-51,-,-,-4,-,-3,-1,-,-,-1,-1,-,1
23209,愛知県,西三河,碧南市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-30,10,-36,37,-,-,3,1,3,5,1,-,2,2,-,-47,-,-,-2,-,-3,-1,-2,-,-1,-3,-,1
23210,愛知県,西三河,刈谷市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,11,51,-48,130,2,2,9,2,10,6,3,-,6,22,-,-141,-3,-,-13,-6,-8,-4,-2,-1,-4,-2,-,-
23211,愛知県,西三河,豊田市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-40,115,-167,188,5,-,29,4,38,23,4,1,13,58,-,-244,-2,-2,-35,-5,-23,-5,-6,-2,-10,-18,-,1
23212,愛知県,西三河,安城市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-21,69,-65,125,6,1,10,1,9,10,-,-,8,16,-,-150,-4,-4,-18,-,-7,-8,-2,-,-5,-16,-,3
23213,愛知県,西三河,西尾市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-46,38,-93,76,4,1,7,2,1,2,1,-,1,4,-,-73,-,-2,-4,-1,-6,-1,-1,-,-1,-1,-,-
23214,愛知県,東三河,蒲郡市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-24,16,-62,59,2,-,8,2,2,3,-,-,1,3,-,-37,-,-4,-5,-3,-4,-4,-,-,-1,-2,-,2
23215,愛知県,尾張北東部,犬山市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-6,15,-37,45,3,1,4,-,14,8,1,1,-,4,-,-32,-2,-1,-5,-1,-18,-2,-,-,-,-4,-,-
23216,愛知県,知多,常滑市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-46,16,-24,51,-,2,4,-,4,2,-,-,-,1,-,-51,-1,-,-22,-2,-8,-5,-,-,-12,-2,-,1
23217,愛知県,尾張北東部,江南市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-33,19,-38,63,1,1,6,2,13,1,-,-,1,-,-,-66,-1,-,-5,-3,-20,-5,-,-,-2,-,-,-
23219,愛知県,尾張北東部,小牧市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-36,27,-55,74,-,-,4,1,14,6,2,-,3,5,-,-75,-2,-,-17,-,-14,-4,-1,-,-5,-,-,1
23220,愛知県,尾張中西部・海部,稲沢市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-24,37,-63,84,-,-,7,2,19,11,3,-,1,9,-,-107,-,-,-4,-1,-14,-4,-,-,-2,-,-,-2
23221,愛知県,東三河,新城市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-18,5,-33,23,-,-,1,1,4,2,-,-,-,-,-,-17,-,-,-1,-1,-3,-,-,-,-,-,-,1
23222,愛知県,知多,東海市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-28,33,-45,90,2,-,7,1,8,3,-,-,3,2,-,-99,-6,-,-9,-5,-3,-6,-,-,-8,-,-,4
23223,愛知県,知多,大府市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,25,34,-32,67,-,-,8,2,8,6,-,-,1,9,-,-61,-,-,-6,-1,-3,-3,-1,-1,-2,-2,-,2
23224,愛知県,知多,知多市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-18,15,-41,62,-,-,7,1,5,2,1,-,1,2,-,-56,-1,-,-5,-1,-5,-4,-,-,-,-,-,-1
23225,愛知県,西三河,知立市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,1,32,-21,61,-,1,6,-,10,3,-,-,3,7,-,-78,-4,-,-9,-,-4,-2,-,-,-2,-2,-,-
23226,愛知県,尾張北東部,尾張旭市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,9,27,-28,67,-,2,5,1,2,5,-,-,3,-,-,-58,-3,-,-3,-,-3,-1,-,-,-1,-6,-,-
23227,愛知県,西三河,高浜市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,13,18,-17,37,1,-,6,1,3,4,-,-,2,2,-,-37,-,-,-2,-,-,-,-,-,-3,-2,-,-
23228,愛知県,尾張北東部,岩倉市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,3,17,-21,42,1,-,3,-,9,3,-,-,2,-,-,-39,-,-,-2,-1,-6,-4,-,-,-2,-,-,1
23229,愛知県,尾張北東部,豊明市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,13,11,-26,64,3,1,4,1,5,6,-,1,1,5,-,-48,-,-,-6,-,-2,-1,-,-,-1,-4,-,-1
23230,愛知県,尾張北東部,日進市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,47,27,-24,121,1,1,11,2,15,6,1,1,-,24,-,-111,-4,-2,-5,-4,-6,-5,-,-,-1,-1,-,-
23231,愛知県,東三河,田原市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-43,16,-36,19,-,-,2,-,1,1,-,-,-,1,-,-36,-1,-,-6,-,-3,-1,-,-,-,-1,-,1
23232,愛知県,尾張中西部・海部,愛西市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-29,10,-35,36,-,-,3,-,7,3,-,-,-,-,-,-44,-,-,-3,-1,-4,-1,-,-,-1,-,-,1
23233,愛知県,尾張中西部・海部,清須市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-38,27,-33,66,1,-,4,4,12,4,-,-,3,7,-,-95,-,-1,-10,-1,-18,-4,-1,-,-1,-2,-,-
23234,愛知県,尾張中西部・海部,北名古屋市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-15,21,-30,60,-,-,9,3,9,2,1,1,5,4,-,-78,-,-1,-7,-,-11,-2,-,-,-1,-,-,-
23235,愛知県,尾張中西部・海部,弥富市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-21,12,-23,25,-,-,3,1,8,2,-,-,2,-,-,-34,-,-,-1,-,-15,-,-,-,-1,-,-,-
23236,愛知県,西三河,みよし市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-,14,-23,59,2,-,3,5,6,5,-,-,4,14,-,-64,-,-,-4,-1,-3,-7,-1,-,-3,-6,-,-
23237,愛知県,尾張中西部・海部,あま市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-7,25,-39,58,-,-,3,-,8,9,-,-,-,-,-,-52,-,-1,-3,-3,-5,-2,-,-,-3,-2,-,-
23238,愛知県,尾張北東部,長久手市,―,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-6,8,-20,50,1,-,7,7,7,4,-,-,5,13,-,-49,-2,-,-9,-4,-10,-6,-1,-,-3,-5,-,1
23302,愛知県,尾張北東部,愛知郡,東郷町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,5,5,-14,49,-,-,5,-,1,1,-,-,1,4,-,-35,-1,-,-6,-,-,-1,-,-,-1,-3,-,-
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-,6,-4,16,-,-,1,-,3,4,-,-,2,-,-,-19,-,-,-1,-1,-1,-,-,-1,-2,-3,-,-
23361,愛知県,尾張北東部,丹羽郡,大口町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-,6,-13,24,1,-,1,-,4,1,-,-,2,1,-,-22,-,-1,-,-,-4,-,-,-,-,-2,-,2
23362,愛知県,尾張北東部,丹羽郡,扶桑町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-,11,-17,20,-,-,-,1,10,1,-,-,1,-,-,-22,-,-,-3,-1,-1,-,-,-,-1,-,-,1
23424,愛知県,尾張中西部・海部,海部郡,大治町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,10,11,-14,35,2,-,2,-,5,2,-,-,-,-,-,-26,-,-,-2,-,-6,-,-,-,-,-,-,1
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-6,12,-20,31,-,-,1,-,8,6,-,1,-,1,-,-29,-,-,-4,-,-10,-3,-,-,-,-,-,-
23427,愛知県,尾張中西部・海部,海部郡,飛島村,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-,1,-5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,-
23441,愛知県,知多,知多郡,阿久比町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-2,6,-12,17,-,-,1,-,1,-,-,-,1,3,-,-14,-,-,-2,-,-3,-,-,-,-,-,-,-
23442,愛知県,知多,知多郡,東浦町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-12,15,-19,35,-,1,3,-,1,-,-,-,-,4,-,-40,-,-1,-4,-,-4,-2,-,-,-1,-,-,-
23445,愛知県,知多,知多郡,南知多町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-22,2,-17,5,-,-,1,-,-,-,1,-,-,-,-,-13,-,-,-1,-,-,-,-,-,-,-,-,-
23446,愛知県,知多,知多郡,美浜町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-10,10,-14,13,1,-,1,-,-,-,-,-,1,-,-,-18,-,-,-2,-,-,-,-,-1,-,-1,-,-
23447,愛知県,知多,知多郡,武豊町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-17,14,-20,20,1,-,1,-,1,-,1,-,2,2,-,-31,-1,-,-3,-,-1,-,-,-,-1,-2,-,-
23501,愛知県,西三河,額田郡,幸田町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,9,20,-16,27,-,-,-,1,5,-,-,-,1,1,-,-24,-,-,-1,-,-2,-1,-,-,-2,-1,-,1
23561,愛知県,東三河,北設楽郡,設楽町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-1,1,-4,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-
23562,愛知県,東三河,北設楽郡,東栄町,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-9,-,-8,3,-,-,-,-,-,-,-,-,-,1,-,-4,-,-,-,-,-,-,-,-,-,-1,-,-
23563,愛知県,東三河,北設楽郡,豊根村,b)日本人,c)女,a)総数,人口増減数（人）,20210101-31,-1,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23000,愛知県,―,―,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,1213,85,-46,1287,24,54,125,52,272,147,33,12,26,2254,66,-1336,-44,-47,-179,-83,-404,-186,-43,-14,-49,-503,-1,-289
23100,愛知県,名古屋,名古屋市,―,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,365,23,-27,342,7,12,30,5,49,37,3,1,5,1035,-,-540,-20,-19,-87,-17,-136,-68,-7,-2,-20,-105,-,-136
23101,愛知県,名古屋,名古屋市,千種区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,41,3,-2,20,-,-,6,-,1,2,-,-,-,62,-,-16,-1,-,-5,-,-2,-2,-1,-1,-1,-7,-,-15
23102,愛知県,名古屋,名古屋市,東区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,2,-,-1,14,-,1,3,-,2,-,-,-,-,18,-,-16,-,-,-3,-1,-,-5,-,-,-,-5,-,-5
23103,愛知県,名古屋,名古屋市,北区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,44,2,-,32,-,-,1,1,9,-,-,-,-,64,-,-23,-,-,-3,-3,-8,-1,-,-,-3,-8,-,-16
23104,愛知県,名古屋,名古屋市,西区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-10,1,-,14,-,-,2,-,5,1,-,-,-,16,-,-21,-,-,-5,-,-3,-6,-1,-,-,-6,-,-7
23105,愛知県,名古屋,名古屋市,中村区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,118,3,-1,31,1,3,1,1,2,3,-,-,-,134,-,-31,-,-2,-4,-1,-8,-1,-,-,-2,-4,-,-7
23106,愛知県,名古屋,名古屋市,中区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,17,2,-2,30,1,-,2,-,4,1,-,-,-,118,-,-61,-7,-7,-10,-1,-17,-5,-,-,-4,-16,-,-11
23107,愛知県,名古屋,名古屋市,昭和区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-20,-,-1,12,-,-,2,-,-,1,-,-,1,38,-,-36,-,-1,-6,-,-,-8,-,-,-1,-7,-,-14
23108,愛知県,名古屋,名古屋市,瑞穂区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-15,-,-,9,-,-,-,-,1,-,-,-,-,5,-,-18,-,-,-,-1,-1,-1,-,-,-,-3,-,-6
23109,愛知県,名古屋,名古屋市,熱田区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,-2,2,-1,10,1,-,-,-,1,-,-,-,-,39,-,-26,-3,-2,-3,-,-8,-1,-,-,-1,-9,-,-1
23110,愛知県,名古屋,名古屋市,中川区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,58,2,-4,45,-,1,-,2,3,4,1,1,-,88,-,-37,-4,-1,-4,-5,-5,-14,-1,-,-,-6,-,-8
23111,愛知県,名古屋,名古屋市,港区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,17,1,-4,38,4,2,6,-,4,2,-,-,-,27,-,-31,-1,-2,-6,-1,-6,-2,-1,-,-,-2,-,-11
23112,愛知県,名古屋,名古屋市,南区,c)外国人,b)男,a)総数,人口増減数（人）,20210101-31,90,-,-4,28,-,3,3,1,3,11,-,-,3,305,-,-137,-,-1,-25,-2,-60,-19,-2,-1,-5,-9,-,-2
