コード,県,ブロック,郡市,区町村,国籍区分,性別,年齢区分,内容,期間,増減数,出生,死亡,転入（県内）,転入（北海道・東北）,転入（北関東）,転入（南関東）,転入（北陸・東山）,転入（東海）,転入（近畿）,転入（中国）,転入（四国）,転入（九州）,転入（国外）,転入（不詳）,転出（県内）,転出（北海道・東北）,転出（北関東）,転出（南関東）,転出（北陸・東山）,転出（東海）,転出（近畿）,転出（中国）,転出（四国）,転出（九州）,転出（国外）,転出（不詳）,その他の増減,
23224,愛知県,知多,知多市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-43,20,-48,51,1,5,8,2,9,5,1,-,3,4,-,-63,-2,-,-9,-3,-2,-4,-,-1,-4,-6,-,-10,
23225,愛知県,西三河,知立市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-36,20,-36,84,3,1,10,2,13,11,2,1,4,14,-,-120,-3,-,-10,-2,-8,-4,-1,-1,-4,-11,-1,-,
23226,愛知県,尾張北東部,尾張旭市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-30,24,-46,63,-,-,3,1,10,1,2,-,-,3,-,-54,-,-1,-7,-5,-10,-3,-,-,-,-10,-,-1,
23227,愛知県,西三河,高浜市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-23,17,-23,53,3,1,1,1,3,-,-,-,1,5,-,-60,-1,-3,-9,-,-5,-,-1,-,-4,-2,-,-,
23228,愛知県,尾張北東部,岩倉市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-9,16,-26,60,-,1,2,2,7,3,-,1,4,4,-,-50,-,-2,-12,-1,-7,-1,-2,-,-4,-5,-,1,
23229,愛知県,尾張北東部,豊明市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-11,22,-31,55,-,1,5,-,5,1,2,-,1,10,-,-51,-2,-1,-9,-3,-5,-3,-1,-,-2,-5,-,-,
23230,愛知県,尾張北東部,日進市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-1,26,-25,122,4,1,9,3,11,10,3,2,1,27,-,-113,-2,-2,-30,-,-8,-4,-,-,-6,-30,-,-,
23231,愛知県,東三河,田原市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-40,11,-38,20,5,1,7,2,4,10,3,2,14,3,-,-51,-3,-1,-4,-4,-5,-3,-2,-1,-6,-4,-,-,
23232,愛知県,尾張中西部・海部,愛西市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-23,10,-34,38,1,1,4,-,7,1,-,1,1,1,-,-40,-,-,-4,-,-3,-1,-,-,-,-5,-,-1,
23233,愛知県,尾張中西部・海部,清須市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,15,30,-40,90,5,-,3,-,13,11,-,1,4,5,-,-81,-1,-1,-7,-2,-7,-2,-,-1,-2,-3,-,-,
23234,愛知県,尾張中西部・海部,北名古屋市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-38,29,-43,78,1,-,8,6,14,5,-,-,1,4,1,-92,-4,-2,-13,-1,-13,-6,-2,-1,-3,-5,-,-,
23235,愛知県,尾張中西部・海部,弥富市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-21,15,-21,29,-,-,5,-,5,1,1,-,-,2,-,-35,-,-,-4,-1,-9,-5,-,-,-2,-1,-,-1,
23236,愛知県,西三河,みよし市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,22,14,-28,79,2,2,8,3,8,4,1,-,3,36,-,-62,-2,-,-12,-4,-3,-6,-2,-1,-7,-12,-,1,
23237,愛知県,尾張中西部・海部,あま市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-48,20,-64,71,1,-,5,1,8,7,2,-,4,7,-,-72,-1,-,-9,-3,-8,-6,-1,-1,-3,-7,-,1,
23238,愛知県,尾張北東部,長久手市,―,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,5,24,-22,58,4,-,15,5,9,1,1,-,2,18,-,-65,-1,-4,-12,-,-10,-5,-2,-,-1,-12,-,2,
23302,愛知県,尾張北東部,愛知郡,東郷町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-15,11,-24,37,-,1,1,3,7,4,-,-,-,3,-,-41,-,-,-3,-2,-3,-3,-,-,-3,-3,-,-,
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-19,2,-16,25,-,-,-,1,1,1,1,-,1,-,-,-24,-1,-,-4,-1,-2,-1,-,-1,-1,-,-,-,
23361,愛知県,尾張北東部,丹羽郡,大口町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-10,7,-15,20,1,-,-,1,8,-,-,-,1,-,-,-25,-,-1,-3,-,-2,-1,-1,-,-,-,-,-,
23362,愛知県,尾張北東部,丹羽郡,扶桑町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,9,6,-20,39,2,-,2,3,11,2,1,1,1,3,-,-24,-1,-1,-1,-1,-9,-,-,-1,-2,-2,-,-,
23424,愛知県,尾張中西部・海部,海部郡,大治町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,16,12,-13,43,1,1,3,-,2,2,1,-,1,1,-,-23,-,-,-3,-1,-5,-2,-1,-,-1,-2,-,-,
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-16,12,-20,18,1,-,3,-,11,1,2,1,-,1,-,-31,-,-,-2,-,-8,-2,-1,-,-2,-,-,-,
23427,愛知県,尾張中西部・海部,海部郡,飛島村,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-3,2,-5,4,-,-,1,-,-,-,-,-,-,1,-,-6,-,-,-,-,-,-,-,-,-,-,-,-,
23441,愛知県,知多,知多郡,阿久比町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-16,7,-22,20,-,-,4,-,1,-,1,-,1,2,-,-16,-,-1,-6,-,-1,-1,-1,-,-2,-2,-,-,
23442,愛知県,知多,知多郡,東浦町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-2,14,-33,63,1,1,2,-,4,4,1,-,2,3,-,-39,-1,-1,-9,-2,-4,-2,-,-,-,-6,-,-,
23445,愛知県,知多,知多郡,南知多町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-21,1,-15,6,-,-,-,-,-,-,-,-,-,-,-,-11,-,-,-1,-,-,-1,-,-,-,-,-,-,
23446,愛知県,知多,知多郡,美浜町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-17,1,-14,10,-,-,1,-,1,-,-,-,-,-,-,-12,-,-,-,-,-1,-,-1,-,-3,-1,-,2,
23447,愛知県,知多,知多郡,武豊町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-3,10,-20,39,2,-,4,2,2,3,1,1,1,1,-,-33,-1,-1,-2,-,-3,-2,-,-,-3,-4,-,-,
23501,愛知県,西三河,額田郡,幸田町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-10,11,-15,31,-,1,4,-,2,4,2,-,3,4,-,-39,-,-,-2,-1,-4,-2,-,-1,-4,-4,-,-,
23561,愛知県,東三河,北設楽郡,設楽町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-4,-,-4,1,-,-,-,-,-,-,-,-,1,-,-,-1,-,-,-,-,-1,-,-,-,-,-,-,-,
23562,愛知県,東三河,北設楽郡,東栄町,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-2,-,-4,2,-,-,1,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,
23563,愛知県,東三河,北設楽郡,豊根村,b)日本人,b)男,a)総数,人口増減数（人）,20240101-31,-1,-,-2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23000,愛知県,―,―,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-2207,1912,-4019,5759,110,54,646,153,842,399,82,47,239,517,-,-5941,-97,-42,-890,-118,-748,-403,-62,-30,-228,-477,-,88,
23100,愛知県,名古屋,名古屋市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-577,621,-1293,2731,44,20,349,68,370,193,41,22,99,155,-,-2633,-52,-15,-470,-57,-301,-205,-25,-16,-107,-159,-,43,
23101,愛知県,名古屋,名古屋市,千種区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-31,35,-86,198,4,3,37,7,29,18,2,1,8,19,-,-185,-8,-,-52,-4,-20,-20,-2,-2,-4,-14,-,5,
23102,愛知県,名古屋,名古屋市,東区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,36,25,-34,170,4,2,27,6,19,9,2,1,6,10,-,-137,-5,-2,-27,-3,-14,-8,-4,-,-6,-6,-,1,
23103,愛知県,名古屋,名古屋市,北区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-30,42,-93,189,4,-,23,3,27,14,2,1,8,3,-,-177,-1,-1,-26,-2,-24,-10,-1,-2,-3,-13,-,7,
23104,愛知県,名古屋,名古屋市,西区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-35,38,-81,170,5,1,20,2,26,10,3,1,4,7,-,-158,-2,-,-25,-3,-15,-19,-1,-1,-7,-10,-,-,
23105,愛知県,名古屋,名古屋市,中村区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-68,38,-79,194,4,3,37,2,30,19,2,1,8,7,-,-206,-3,-2,-50,-5,-27,-18,-2,-1,-14,-12,-,6,
23106,愛知県,名古屋,名古屋市,中区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,65,36,-44,265,2,3,31,6,50,22,5,2,5,10,-,-204,-3,-2,-46,-6,-36,-18,-2,-,-12,-3,-,4,
23107,愛知県,名古屋,名古屋市,昭和区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-64,36,-66,130,1,1,12,5,16,6,3,2,4,13,-,-159,-5,-,-28,-2,-17,-12,-,-,-3,-5,-,4,
23108,愛知県,名古屋,名古屋市,瑞穂区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-82,28,-62,114,1,1,12,1,13,10,-,-,4,15,-,-135,-4,-2,-28,-5,-17,-11,-1,-1,-8,-8,-,1,
23109,愛知県,名古屋,名古屋市,熱田区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-13,18,-41,113,-,-,9,1,7,3,4,-,1,3,-,-94,-4,-,-9,-2,-9,-7,-1,-,-2,-3,-,-,
23110,愛知県,名古屋,名古屋市,中川区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-92,54,-118,229,3,1,20,10,40,12,2,5,11,1,-,-241,-8,-3,-37,-6,-37,-12,-1,-1,-5,-13,-,2,
23111,愛知県,名古屋,名古屋市,港区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-16,23,-88,127,1,1,9,-,20,12,2,-,4,8,-,-90,-1,-,-7,-3,-9,-4,-1,-2,-8,-11,-,1,
23112,愛知県,名古屋,名古屋市,南区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-106,30,-95,109,3,-,6,6,12,4,1,2,6,7,-,-139,-,-,-11,-7,-10,-10,-,-3,-6,-16,-,5,
23113,愛知県,名古屋,名古屋市,守山区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-119,56,-117,137,4,-,16,2,17,4,2,-,4,7,-,-185,-4,-1,-28,-2,-10,-6,-1,-1,-8,-5,-,-,
23114,愛知県,名古屋,名古屋市,緑区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,29,87,-122,230,2,1,32,5,20,18,5,3,9,13,-,-193,-1,-2,-24,-4,-14,-9,-4,-1,-4,-19,-,1,
23115,愛知県,名古屋,名古屋市,名東区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-28,37,-78,163,4,2,37,6,21,21,4,3,8,18,-,-156,-3,-,-50,-2,-26,-24,-4,-,-9,-6,-,6,
23116,愛知県,名古屋,名古屋市,天白区,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-23,38,-89,193,2,1,21,6,23,11,2,-,9,14,-,-174,-,-,-22,-1,-16,-17,-,-1,-8,-15,-,-,
23201,愛知県,東三河,豊橋市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-110,97,-205,112,8,-,32,6,33,13,4,2,9,14,-,-121,-4,-1,-37,-6,-33,-12,-,-,-15,-13,-,7,
23202,愛知県,西三河,岡崎市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-46,105,-186,225,6,2,26,11,36,18,2,4,15,35,-,-218,-2,-2,-38,-10,-34,-15,-3,-,-10,-20,-,7,
23203,愛知県,尾張中西部・海部,一宮市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-131,76,-234,174,4,1,23,5,41,17,2,-,1,27,-,-151,-3,-1,-24,-4,-50,-20,-2,-,-4,-18,-,9,
23204,愛知県,尾張北東部,瀬戸市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-50,24,-63,55,2,-,3,1,7,1,-,-,4,6,-,-63,-2,-,-5,-1,-6,-4,-1,-,-,-8,-,-,
23205,愛知県,知多,半田市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-64,20,-79,69,4,-,9,1,7,3,-,1,2,8,-,-79,-1,-2,-9,-,-2,-7,-1,-,-2,-6,-,-,
23206,愛知県,尾張北東部,春日井市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-123,94,-135,149,2,1,15,1,38,17,1,-,8,18,-,-225,-2,-,-36,-2,-38,-12,-1,-3,-8,-8,-,3,
23207,愛知県,東三河,豊川市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,8,63,-98,98,2,1,7,4,16,7,1,2,4,7,-,-69,-1,-,-4,-,-15,-9,-1,-,-1,-6,-,-,
23208,愛知県,尾張中西部・海部,津島市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-53,17,-36,33,1,-,3,1,4,1,-,-,-,1,-,-54,-,-,-4,-3,-8,-5,-,-,-2,-3,-,1,
23209,愛知県,西三河,碧南市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-46,16,-46,40,-,1,1,-,5,3,-,-,-,1,-,-53,-,-1,-6,-1,-4,-,-,-,-2,-,-,-,
23210,愛知県,西三河,刈谷市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-30,42,-73,141,3,1,11,5,16,9,3,2,5,15,-,-158,-1,-,-12,-3,-12,-8,-1,-,-4,-12,-,1,
23211,愛知県,西三河,豊田市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-124,89,-167,158,4,6,24,13,27,17,5,2,18,61,-,-243,-6,-3,-36,-1,-28,-25,-4,-1,-12,-24,-,2,
23212,愛知県,西三河,安城市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-20,44,-77,129,4,2,9,2,7,12,4,-,3,24,-,-115,-2,-1,-15,-,-12,-4,-3,-,-6,-25,-,-,
23213,愛知県,西三河,西尾市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-66,42,-115,80,-,-,10,-,6,3,1,-,8,11,-,-84,-1,-,-5,-,-7,-3,-2,-,-4,-7,-,1,
23214,愛知県,東三河,蒲郡市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-62,10,-65,53,-,3,1,-,1,2,-,-,2,1,-,-48,-,-,-8,-1,-7,-2,-,-1,-,-3,-,-,
23215,愛知県,尾張北東部,犬山市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-50,9,-51,36,2,-,3,-,17,2,-,-,1,1,-,-44,-2,-2,-6,-1,-8,-,-,-1,-3,-4,-,1,
23216,愛知県,知多,常滑市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-20,14,-41,49,-,1,13,3,12,8,3,2,2,-,-,-50,-1,-,-12,-,-8,-5,-1,-,-3,-6,-,-,
23217,愛知県,尾張北東部,江南市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-37,23,-46,60,-,1,3,1,6,5,1,-,-,8,-,-60,-3,-,-7,-,-13,-2,-2,-1,-1,-13,-,3,
23219,愛知県,尾張北東部,小牧市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-76,39,-70,60,-,3,9,3,20,8,-,-,3,5,-,-92,-1,-2,-21,-4,-22,-6,-1,-1,-7,-1,-,2,
23220,愛知県,尾張中西部・海部,稲沢市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-57,31,-78,76,2,1,6,-,14,6,-,1,3,11,-,-91,-1,-,-9,-,-8,-4,-1,-,-2,-15,-,1,
23221,愛知県,東三河,新城市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-38,5,-36,12,-,-,2,-,1,3,-,-,-,3,-,-17,-,-,-2,-1,-4,-3,-,-,-1,-,-,-,
23222,愛知県,知多,東海市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-29,21,-49,81,3,1,1,4,7,4,2,-,9,3,-,-75,-,-1,-10,-2,-9,-5,-1,-,-2,-10,-,-1,
23223,愛知県,知多,大府市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-33,23,-46,59,3,-,2,3,8,1,-,-,3,8,-,-72,-,-1,-4,-2,-3,-6,-1,-,-2,-6,-,-,
23224,愛知県,知多,知多市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-31,15,-34,51,-,3,5,1,3,3,-,-,3,5,-,-53,-1,-,-5,-1,-6,-2,-,-,-2,-12,-,-4,
23225,愛知県,西三河,知立市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-15,17,-29,69,1,-,3,-,8,1,1,1,4,9,-,-74,-1,-,-4,-,-7,-3,-,-,-2,-9,-,-,
23226,愛知県,尾張北東部,尾張旭市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-41,20,-41,56,1,-,3,-,3,1,1,2,1,2,-,-66,-,-,-2,-6,-6,-4,-,-1,-,-6,-,1,
23227,愛知県,西三河,高浜市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-8,14,-21,34,1,-,-,-,1,-,1,-,3,2,-,-32,-2,-,-4,-,-3,-,-1,-,-,-1,-,-,
23228,愛知県,尾張北東部,岩倉市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-17,10,-29,40,-,-,3,1,6,2,-,2,4,2,-,-43,-,-,-3,-,-5,-1,-1,-,-2,-3,-,-,
23229,愛知県,尾張北東部,豊明市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-30,19,-40,51,-,-,1,-,1,1,1,-,1,6,-,-47,-,-,-4,-3,-6,-1,-1,-,-2,-7,-,-,
23230,愛知県,尾張北東部,日進市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-9,39,-32,89,1,1,6,3,13,1,1,-,-,9,-,-96,-2,-4,-16,-1,-2,-3,-,-1,-1,-15,-,1,
23231,愛知県,東三河,田原市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-39,9,-45,13,1,-,3,1,4,-,-,1,3,4,-,-25,-,-,-2,-,-4,-,-,-,-1,-2,-,1,
23232,愛知県,尾張中西部・海部,愛西市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-47,13,-48,30,-,-,-,1,7,1,1,1,1,1,-,-41,-,-,-2,-1,-2,-1,-,-,-1,-9,-,2,
23233,愛知県,尾張中西部・海部,清須市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-1,24,-27,73,2,-,3,1,15,5,1,-,2,5,-,-79,-,-,-7,-4,-10,-3,-,-,-1,-1,-,-,
23234,愛知県,尾張中西部・海部,北名古屋市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-14,25,-34,76,1,1,9,2,16,4,-,-,5,1,-,-84,-,-1,-8,-1,-17,-5,-,-1,-2,-2,-,1,
23235,愛知県,尾張中西部・海部,弥富市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-31,10,-31,23,1,-,2,-,9,-,1,-,1,-,-,-34,-,-,-7,-,-3,-1,-,-,-1,-,-,-1,
23236,愛知県,西三河,みよし市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,29,20,-21,61,-,1,11,1,6,5,-,-,3,8,-,-42,-,-1,-9,-,-4,-2,-1,-,-5,-2,-,-,
23237,愛知県,尾張中西部・海部,あま市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-23,29,-58,71,1,1,3,2,9,8,1,-,2,6,-,-73,-2,-,-5,-,-6,-3,-,-1,-,-10,-,2,
23238,愛知県,尾張北東部,長久手市,―,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,1,13,-22,52,2,1,12,4,9,5,-,1,1,19,-,-63,-,-1,-11,-,-7,-6,-1,-1,-1,-6,-,1,
23302,愛知県,尾張北東部,愛知郡,東郷町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,15,13,-16,31,-,1,3,-,2,2,-,-,1,2,-,-18,-,-1,-,-1,-,-,-,-,-1,-4,-,1,
23342,愛知県,尾張中西部・海部,西春日井郡,豊山町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,12,11,-8,34,-,-,1,1,1,-,-,-,-,-,-,-20,-2,-,-1,-,-2,-2,-1,-,-,-1,-,1,
23361,愛知県,尾張北東部,丹羽郡,大口町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-,9,-9,13,-,-,-,-,9,1,-,-,-,-,-,-18,-,-1,-1,-,-1,-1,-1,-,-,-,-,-,
23362,愛知県,尾張北東部,丹羽郡,扶桑町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-15,9,-28,25,1,-,-,-,9,-,1,1,1,4,-,-23,-,-1,-,-,-8,-,-,-1,-3,-4,-,2,
23424,愛知県,尾張中西部・海部,海部郡,大治町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,18,10,-10,44,1,-,3,1,-,-,2,-,-,-,-,-22,-,-,-4,-,-4,-,-1,-,-,-1,-,-1,
23425,愛知県,尾張中西部・海部,海部郡,蟹江町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-18,13,-19,14,-,-,1,-,8,-,-,-,-,2,-,-28,-,-,-2,-,-4,-1,-,-,-,-2,-,-,
23427,愛知県,尾張中西部・海部,海部郡,飛島村,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-1,1,-3,2,-,-,-,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,
23441,愛知県,知多,知多郡,阿久比町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-2,5,-18,21,2,-,2,-,-,1,-,-,-,1,-,-13,-1,-,-,-,-,-,-,-,-1,-1,-,-,
23442,愛知県,知多,知多郡,東浦町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-2,16,-23,39,-,-,2,1,1,2,-,-,2,3,-,-33,-,-,-4,-1,-4,-2,-1,-,-,-,-,-,
23445,愛知県,知多,知多郡,南知多町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-24,-,-21,9,-,-,-,-,1,1,-,-,-,1,-,-12,-,-,-2,-,-,-,-1,-,-,-,-,-,
23446,愛知県,知多,知多郡,美浜町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-21,2,-19,11,-,-,1,1,-,1,-,-,-,-,-,-10,-,-,-2,-,-1,-,-,-,-1,-5,-,1,
23447,愛知県,知多,知多郡,武豊町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-24,12,-19,21,-,-,3,-,1,1,-,-,1,1,-,-36,-1,-,-1,-,-1,-,-,-,-2,-4,-,-,
23501,愛知県,西三河,額田郡,幸田町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-22,8,-17,25,-,-,2,-,1,-,-,-,1,1,-,-34,-,-,-3,-,-2,-,-1,-,-1,-2,-,-,
23561,愛知県,東三河,北設楽郡,設楽町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-8,1,-4,1,-,-,-,-,-,-,-,-,-,-,-,-5,-,-,-1,-,-,-,-,-,-,-,-,-,
23562,愛知県,東三河,北設楽郡,東栄町,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-3,-,-3,-,-,-,2,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,-,-,-1,-,-,
23563,愛知県,東三河,北設楽郡,豊根村,b)日本人,c)女,a)総数,人口増減数（人）,20240101-31,-2,-,-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-,-,-,-,-,-,-,
23000,愛知県,―,―,―,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,608,111,-31,1414,32,54,168,60,341,161,66,17,48,2448,-,-1463,-61,-76,-255,-70,-487,-230,-29,-11,-64,-1305,-6,-224,
23100,愛知県,名古屋,名古屋市,―,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,207,36,-15,436,8,9,47,8,69,27,8,1,14,841,-,-544,-11,-18,-89,-11,-148,-56,-2,-,-18,-290,-,-95,
23101,愛知県,名古屋,名古屋市,千種区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,-,3,-,36,-,2,3,1,1,2,-,-,1,27,-,-22,-,-,-9,-2,-1,-4,-,-,-,-27,-,-11,
23102,愛知県,名古屋,名古屋市,東区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,1,1,-,16,-,-,5,-,5,3,1,-,-,19,-,-23,-,-1,-4,-,-1,-,-,-,-4,-15,-,-1,
23103,愛知県,名古屋,名古屋市,北区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,44,5,-1,26,-,-,2,1,8,1,-,-,3,62,-,-31,-,-,-3,-,-1,-13,-,-,-2,-10,-,-3,
23104,愛知県,名古屋,名古屋市,西区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,19,1,-1,19,-,-,6,-,4,3,-,-,-,37,-,-13,-1,-,-3,-1,-4,-4,-,-,-,-13,-,-11,
23105,愛知県,名古屋,名古屋市,中村区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,38,2,-2,26,-,2,4,1,5,3,1,1,-,96,-,-39,-2,-,-5,-1,-21,-5,-,-,-1,-22,-,-5,
23106,愛知県,名古屋,名古屋市,中区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,9,3,-1,36,1,-,2,-,10,3,-,-,-,82,-,-67,-1,-,-9,-1,-11,-5,-1,-,-,-19,-,-13,
23107,愛知県,名古屋,名古屋市,昭和区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,-4,2,-1,15,2,-,2,-,-,-,-,-,1,60,-,-40,-,-2,-8,-,-4,-,-,-,-1,-25,-,-5,
23108,愛知県,名古屋,名古屋市,瑞穂区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,4,-,-,8,-,-,2,-,-,-,-,-,-,3,-,-5,-,-,-2,-,-1,-,-,-,-,-2,-,1,
23109,愛知県,名古屋,名古屋市,熱田区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,10,1,-,15,-,3,2,-,2,1,-,-,-,18,-,-19,-1,-,-4,-,-3,-1,-,-,-,-5,-,1,
23110,愛知県,名古屋,名古屋市,中川区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,58,4,-1,61,1,-,2,-,7,-,1,-,2,70,-,-35,-,-,-5,-,-19,-2,-,-,-,-22,-,-6,
23111,愛知県,名古屋,名古屋市,港区,c)外国人,b)男,a)総数,人口増減数（人）,20240101-31,17,4,-4,51,-,1,12,2,11,1,1,-,3,34,-,-24,-1,-1,-7,-3,-9,-2,-,-,-,-41,-,-11,
